loss,method,task,validation_loss,n_errors,n_correct,avg_non_abstain,avg_crr_conf,avg_err_conf,accuracy,kendall_tau,capacity,aupr,auroc,elapsed_time
basic,basic (max_prob),mnist,0.35989261015205626,1666,8334,1.0,0.8808755990907189,0.5316815529944373,0.8334,0.10206559225562076,0.9673467515489269,0.9795453594982805,0.8979345157789538,2.8089981079101562
basic,basic (max_prob),mnist,0.3591282558479127,1624,8376,1.0,0.8824486981262564,0.5315053091003683,0.8376,0.10381122054097798,0.9682983975148308,0.9797488519278079,0.8961889264894773,2.806056022644043
basic,basic (max_prob),mnist,0.3595545673446291,1678,8322,1.0,0.8892232365843569,0.5480470600159433,0.8322,0.10228664261106667,0.9670519765428808,0.9794769057855557,0.8977133931944822,2.7426881790161133
basic,basic (max_prob),mnist,0.3726935482518688,1701,8299,1.0,0.8828859343300642,0.5539227507084276,0.8299,0.10641741682964856,0.9654150585774065,0.9779789876953048,0.8935826894282397,2.8012590408325195
basic,basic (max_prob),mnist,0.3639086155564922,1692,8308,1.0,0.8836681392181935,0.5536354913356456,0.8308,0.10297865795706893,0.9664969500307401,0.9790726638315974,0.8970214131811771,2.806948184967041
basic,basic (random),mnist,0.36063922827790496,1672,8328,1.0,0.4981802022809254,0.5116609712822016,0.8328,0.5135061319627336,0.828048898786323,0.8281246966429352,0.48649390394541503,2.849311113357544
basic,basic (random),mnist,0.3602059398107468,1678,8322,1.0,0.49981589985277697,0.48527796120694766,0.8322,0.4854857194580816,0.8406114738897036,0.8407225756434105,0.5145142805419184,2.7476563453674316
basic,basic (random),mnist,0.3617289649073485,1690,8310,1.0,0.49917366590023615,0.5097540482261477,0.831,0.5106725339827256,0.8246990500714853,0.8247824314619076,0.48932750161992045,2.798525810241699
basic,basic (random),mnist,0.37356565418137105,1694,8306,1.0,0.49676021747694743,0.5159821847042481,0.8306,0.5192135754270465,0.8214102865063658,0.82156408056773,0.4807864245729534,2.810117244720459
basic,basic (random),mnist,0.362031295563385,1667,8333,1.0,0.5067628623914793,0.49748714791133725,0.8333,0.4907120100040954,0.8388591682331024,0.8389322782079224,0.5092880259901458,2.7589540481567383
